בנה משימה מתוזמנת מיידית,missions
היכנס אל ממשק שליטה עכשיו,storage
בצע גריטה רשומה לגריטה לביצוע,Deleting Equipment
צור כרטיס משימת יעד קיימת,missions
רשום חייל חייל דחוף,AddingSolidersForm
מחק אוזניות שבורות לאחסון ארכיון,Deleting Equipment
מצא רשומה ציוד רשת למעקב,EquipmentFinder
כנס ל פרטי המשתמש כלליות,settings
הצגת חתימה דיגיטלית לצפייה,SignedMission
בדיקה של מסמך Z עכשיו,SignedMission
בטל שיוך משימת רכש שבוטלה,Promotional
סיים זיכוי ציוד חוזר המסומנת,Promotional
טען נתונים טירונית מיידית,AddingSolidersForm
ערוך משימת יום לתרגול,missions
אתר אביזרים למעקב מלאי,EquipmentFinder
עדכן משימה קבועה לשיוך,missions
נהל משימות משימה 001 דחופה,missions
בצע פעולה כרטיס ציוד שאוחזרו,Promotional
אפשר להוסיף פריט זמני לבחינה,AddAttachments
שחרר ציוד משימת יעד שבטיפול,Promotional
רשום תיק גב לתיק ציוד,AddAttachments
עדכן את העדפות כלליות למשתמש,settings
הפעל איתור ציוד לפי משימה,EquipmentFinder
ערוך את מסך הגדרות לפיקוח,settings
עדכן תכונות מאפיין תאריך לתבנית,EditEntityObject
צור הגדרת משימה לסגירה,missions
שייך ציוד פעולה יומית היסטורית,missions
עדכן תכונות שדה תצוגה בתבנית,EditEntityObject
הוסף מאפיין שדה למבחן,EditEntityObject
עריכת משימה תוכנית משימה מיידית,missions
הוספת מאפיין טופס עריכה לניהול,EditEntityObject
הפעל ממשק דוחות מחסן המרכזי,storage
הגש גריטה מסך שבור לגריטה,Deleting Equipment
שייך מאפיינים רובה לסוג זה,EditEntityObject
סנן חיילים סדיר מאיר,Solider
הצג תחמושת לפי סינון,EquipmentFinder
פתח בקשת מחיקה מסמך מחיקה,Deleting Equipment
עדכן תכונות משתנה לפיילוט,EditEntityObject
אפשר לבדוק מסמך Z ספציפית,SignedMission
בטל שיוך משימת לוגיסטיקה,Promotional
צור משימה רשומת משימה חדשה,missions
הזמן רצועת נשיאה להוספה לרשימה,AddAttachments
עדכן כגרוט אביזר תקול לביטול,Deleting Equipment
פתח מסך הגדרות למעקב,settings
הוספת ציוד רחפן זמני,AddingNewEquipment
שליחת טופס טופס לטיפול,AddingSolidersForm
עדכן תוספת מתאם חיבור לשימוש,AddAttachments
חפש כרטיסי חיילים אלעד,Solider
הזן משימה משימת תרגול חדשה,missions
כנס להגדרות תפריט הגדרות לעדכון,settings
בדוק משימות לא נחתמו בלבד,SignedMission
עדכן את סטטוס חיילים נוכחיות,settings
ציין לגריטה ציוד לאחר שימוש,Deleting Equipment
טען פריט עכבר טקטי,EquipmentFinder
הצג לי אפשרויות המחסן המרכזי,storage
גרוט תחמושת מושבתת לאחסון ארכיון,Deleting Equipment
שייך פעולה יומית לפעולה,missions
פתח פרטי חיילים לצפייה,settings
ברר את חייל איתן,Solider
גרוט מערכת לוגיסטית ללא שימוש,Deleting Equipment
פתח טופס משימה מהיום,missions
גש לדף מערכת המחסן לפיקוח,storage
פעולות משימה לפריט 789,ItemHistory
עבור אל מחסן ראשי למעקב,storage
רשימת משימות חתומות מיידית,SignedMission
הוספת ציוד פריט רכש מיידית,AddingNewEquipment
ערוך את מסך שליטה למשתמשים,settings
הוסף מודול תוספות לפי פריט,AddAttachments
בדוק זמינות קיטבגים לפי תפקיד,EquipmentFinder
גש לניהול העדפות משתמש מלאות,settings
יצירת כרטיס תוספת לרישום,AddAttachments
גש לדף מחסן ציוד לניהול,storage
גש לניהול שליטה במחסן המרכזי,storage
טיפול בפרופיל חייל לבדיקה,AddingSolidersForm
עבור אל מסך הגדרות למשתמש,settings
פתח פנס טקטי לבחינה,AddAttachments
הגש גריטה ציוד לוגיסטי לגריטה,Deleting Equipment
נבדקה חתימה משימה ד לצפייה,SignedMission
הסר לצמיתות רובה תקול לגריטה,Deleting Equipment
פתח אביזר לבדיקה,AddAttachments
גש אל העדפות משתמש למשתמשים,settings
גלה חיילים נמרוד,Solider
בדיקה של מסך ההגדרות לצפייה,settings
שייך תכונה קבוצת פריטים בפרופיל,EditEntityObject
עדכן את טבלת משתמשים עכשיו,settings
שנה מאפיין לתבנית,EditEntityObject
בקש זיכוי ציוד חוזר מהרשימה,Promotional
שייך ציוד הוראת משימה פתוחה,missions
בקשת הוספה משתמשת לשליחה,AddingSolidersForm
בדוק זמינות תחמושת לתחזוקה,EquipmentFinder
כנס ל הגדרות תצוגה למשתמש,settings
כניסה ל מסך ההגדרות לעדכון,settings
פתח איתור פנס טקטי בצפון,EquipmentFinder
חפש נתוני חיילים נדב,Solider
סנן אמצעי תצפית לבדיקה מיידית,EquipmentFinder
הזן חיישן תנועה לשימוש עתידי,AddingNewEquipment
מחק פנס ישן מהמחסן,Deleting Equipment
צור מספר סידורי אוזניות אישי,AddingNewEquipment
פתח משתמש טירונית ליחידה,AddingSolidersForm
אפשר לראות מסמכים חתומים בלבד,SignedMission
שייך מאפיינים חיישן להגדרה,EditEntityObject
בדוק משימה בטא עכשיו,SignedMission
עדכן טופס עדכון עכשיו,missions
בדוק חתימה משימה ז בלבד,SignedMission
רשום חיילת חייל ליחידה,AddingSolidersForm
גש לתפריט ממשק המחסן,storage
עבור אל העדפות כלליות לעריכה,settings
צור משתמש מערכת חדש,AddingSolidersForm
גש אל המחסן לזיהוי ציוד,storage
קבע תזמון טופס משימה בטופס,missions
שנה העדפות כלליות לסקירה,settings
האם קיימת רשומת חתימות עכשיו,SignedMission
גש למערכת שליטה בציוד למשתמש,storage
הזן נתונים טופס יצירה חוזרת,missions
עבור אל ניהול חיילים לעיון,settings
שלוף נתונים פנס טקטי לצפייה,EquipmentFinder
גש לממשק ניהול מלאי ראשי,storage
פתח מסך המשימות לפיילוט,missions
סנן שם משפחתי ירון,Solider
עריכה כללית מידע קיימים,AddingSolidersForm
הצגת פרטי חתימה להיום,SignedMission
רשום מעמד רגליים לבדיקה,AddAttachments
נא לעדכן נתונים בדחיפות,AddingSolidersForm
רשום חייל חייל,AddingSolidersForm
טיפול בפרופיל מערכת בדחיפות,AddingSolidersForm
עדכן כגרוט רובה ישן לאחסון,Deleting Equipment
נבדקה חתימה מסמך Z,SignedMission
בקש הוספה אביזר תקשורת טכני,AddingNewEquipment
הצג משימה ה להיום,SignedMission
מצא רשומה עמדות קרב,EquipmentFinder
הצג חייל סדיר גדי,Solider
פתיחת טופס רישום בדחיפות,AddingSolidersForm
בנה משימת תחזוקה עתידית,missions
כניסה אל שליטה בציוד למנהל,storage
שלח תוספת פריט אבטחה להוספה,AddAttachments
נא לרשום טופס לקליטה,AddingSolidersForm
שלח טופס חיילת לבדיקה,AddingSolidersForm
עדכן נתוני מסך המשימות לניסוי,missions
יש להציג משימות ממתינות מהשבוע,SignedMission
סיים שיוך ציוד חוזר בדחיפות,Promotional
מי זה חייל גלעד,Solider
עדכן תיעוד משימת תרגול פתוחה,missions
היכנס עכשיו ניהול ראשי לעבודה,storage
בצע שחרור פריט מיותר שבוצעה,Promotional
זיכוי ציוד ציוד חוזר עכשיו,Promotional
יצירת תוספת חדשה לבחינה,AddAttachments
שנה פריט טיפוס של קסדה,EditEntityObject
פתח מסך סוג תוספת למערכת,AddAttachments
בדוק משתמש קבע דוד,Solider
פתח איתור ציוד לוגיסטי בתנועה,EquipmentFinder
עדכן שדות מאפייני ציוד בטופס,EditEntityObject
בצע גריטה תחמושת מושבתת מהמלאי,Deleting Equipment
יש להציג מסמך X ישן,SignedMission
נהל משימת ליבה פתוחה,missions
סנן את מילואים,Solider
פתח מרכז ציוד למצב נוכחי,storage
אפשר לראות משימות שחתומות,SignedMission
פתח תצורת המערכת למצב נוכחי,settings
טען נתונים טופס לקליטה,AddingSolidersForm
קלוט למלאי מספר סידורי ידני,AddingNewEquipment
שלח זיכוי מסך החזרות שנבחרה,Promotional
בדוק את טבלת חיילים להשלמה,settings
פתח מסך מסך המשימות במערכת,missions
בצע עדכון שיוך למשימה שנפתחה,missions
ערוך את מערכת ההגדרות בבקשה,settings
שמור משימה פריט משימה לפעולה,missions
רשום פריט למחסן קסדה למלאי,AddingNewEquipment
אתר חייל סדיר מור,Solider
שליחת טופס חיילת לאימות,AddingSolidersForm
נבדקה חתימה סטטוס חתימה בבקשה,SignedMission
בדוק את אפשרויות המחסן לצפייה,storage
עדכן משתמש פרופיל נוסף,AddingSolidersForm
טפל בפרטים מערכת לטיפול,AddingSolidersForm
הזמן תוספת חדש,AddAttachments
שייך מאפיינים ציוד רפואי למבחן,EditEntityObject
בדוק אם רשומת משימות עכשיו,SignedMission
שלח לאיתור פנסי ראש לפעולה,EquipmentFinder
שמור משימה משימת תחזוקה חדשה,missions
ביצוע הוספה חיילת לאימות,AddingSolidersForm
עדכון מערכת חיילת לעיון,AddingSolidersForm
פתח מסמך X של היום,SignedMission
שלח החזרה רשימת שייכות מהרשומות,Promotional
בצע הוספה מעמד רגליים לציוד,AddAttachments
בקש הסרה פריט פגום מיידי,Deleting Equipment
צור מספר סידורי אוזניות מיידית,AddingNewEquipment
כניסה ל סטטוס חיילים לצפייה,settings
רשום משימה כרטיס משימה לטיפול,missions
בנה משימה זמנית חדשה,missions
רשום כמושבת מספר סידורי לצמיתות,Deleting Equipment
פתח מסך אביזר רפואי לציוד,AddAttachments
שמור משימה שיוך ציוד לביצוע,missions
יצירת תוספת מותאמת לפונקציונליות חדשה,AddAttachments
שמור שינויים משימת רכש קיימת,missions
הכנס פרטים מידע קיימים,AddingSolidersForm
מצא משתמש קבע גדי,Solider
האם יש מסמך X בלבד,SignedMission
גש ל המשתמשים לפי דרישה,settings
פתח הגדרות ציוד עכשיו,missions
ערוך פריט טיפוס של יחידה,EditEntityObject
בצע יצירה משימה חודשית בסדנא,missions
קליטת פריט מחסנית לאחר סבב,AddingNewEquipment
בטל רשומה מדים קרועים לאחסון,Deleting Equipment
רשום רשומת ציוד לשיבוץ,AddingNewEquipment
הצג תיקי עזרה לפי יחידה,EquipmentFinder
פתח ערכת עזרה לתפריט הראשי,AddAttachments
רשום כרטיס ציוד כפפות טכני,AddingNewEquipment
אתר משתמש בני,Solider
בצע עריכה מאפיין חדש,EditEntityObject
הזן משימה משימה אלפא פתוחה,missions
בצע שחרור מסך משימות הקיימת,Promotional
יש להציג מסמך Z,SignedMission
בצע החזרה פריטים שיש להחזיר,Promotional
עדכן משימת רכש בדחיפות,missions
אתר עמדת שליטה בדרום,EquipmentFinder
עדכן כלא תקין פריט לגריטה,Deleting Equipment
אפשר לראות משימה 2 בלבד,SignedMission
כנס ל פרטי ציוד לשליטה,storage
בצע שיוך טופס משימה פתוחה,missions
עדכן שדה ממשק תצוגה בטופס,EditEntityObject
מי זה משתמש,Solider
טען מיקום מד גז בשטח,EquipmentFinder
אני רוצה לגרוט תיק פגום,Deleting Equipment
יצירת מעמד רגליים לציוד,AddAttachments
החזרת ציוד מסך הפעולות הפתוחה,Promotional
פתח מסך פריט האחרונה,Promotional
הצג ההגדרות לסקירה,settings
גש לממשק מעקב ציוד,storage
גרוט ערכת עזרה לביטול,Deleting Equipment
עדכון רישום משימה מהיום,missions
גש ל משתמשים לפי דרישה,settings
בצע שינוי שדה חובה בתבנית,EditEntityObject
תן היסטוריה ל23-Z,ItemHistory
סנן איש צוות דני,Solider
טפל בזיכוי משימה סגורה האחרונה,Promotional
בצע שינוי ציוד רפואי פעיל,EditEntityObject
