Text,Label
הצעות קידום,Promotional
שינוי הגדרות,settings
פרטי חייל,Solider
הזנת חייל חדש,AddingSolidersForm
מחיקת פריט לא נחוץ,DeleteEquipment
משימות מחזוריות,RepeteMissions
מחק ציוד,DeleteEquipment
יצירת ציוד מותאם,CreateNewEquipment
חזור על משימה,RepeteMissions
היסטוריית פריט,ItemHistory
עבר של הציוד,ItemHistory
מצא ציוד במחסן,EquipmentFinder
ערוך נתון,EditEntityObject
כפתור הבית,Main
יצירת ציוד מותאם,CreateNewEquipment
משימות מחזוריות,RepeteMissions
עבר של הציוד,ItemHistory
צור פריט חדש,CreateNewEquipment
איתור פריט,EquipmentFinder
רמת מוכנות,Preparedness
פעולות שממתינות,missions
הוספת קבצים,AddAttachments
צור פריט חדש,CreateNewEquipment
טיפול במשימות,missions
בדיקת מלאי,storage
חזור על משימה,RepeteMissions
ערוך נתון,EditEntityObject
ניהול ציוד מתקדם,EquipmentSettings
חזור על משימה,RepeteMissions
הגדר תצורת ציוד,EquipmentSettings
כפתור הבית,Main
אחסון ציוד,storage
שליחת פריטים למחסן,Deposit
הגדר תצורת ציוד,EquipmentSettings
רשימת המשימות,missions
אחסון ציוד,storage
בדיקת מוכנות,Preparedness
מתי השתמשו בפריט,ItemHistory
הסרת פריט,DeleteEquipment
שליחת פריטים למחסן,Deposit
עריכת אובייקט,EditEntityObject
הוספת קבצים,AddAttachments
פרסומים זמניים,Promotional
צרף מסמכים,AddAttachments
איך מוסיפים חייל,AddingSolidersForm
משימה שחוזרת,RepeteMissions
חזור על משימה,RepeteMissions
הסרת פריט,DeleteEquipment
האם הכל מוכן,Preparedness
איך מוסיפים חייל,AddingSolidersForm
שינוי הגדרות,settings
הגדרות ציוד,EquipmentSettings
תצוגה ראשית,Main
שנה פריט,EditEntityObject
מצא ציוד במחסן,EquipmentFinder
מבצעים מיוחדים,Promotional
פעולות שממתינות,missions
הצעות קידום,Promotional
בדיקת מלאי,storage
משימות לביצוע,Missions
צור פריט חדש,CreateNewEquipment
ניהול ציוד מתקדם,EquipmentSettings
פרטי חייל,Solider
מחק ציוד,DeleteEquipment
הצעות קידום,Promotional
פעולות שממתינות,missions
בדיקת מוכנות,Preparedness
טיפול במשימות,missions
מצא ציוד במחסן,EquipmentFinder
הוספת קבצים,AddAttachments
שליחת פריטים למחסן,Deposit
איתור פריט,EquipmentFinder
ציוד חדש,AddingNewEquipment
משימה שחוזרת,RepeteMissions
מצא ציוד במחסן,EquipmentFinder
הפקדת ציוד,Deposit
מחק ציוד,DeleteEquipment
העלה קובץ חדש,AddAttachments
מה יש במחסן,storage
פריט חדש,AddingNewEquipment
הגדרות ציוד,EquipmentSettings
רשימת המשימות,missions
מתי השתמשו בפריט,ItemHistory
חזור על משימה,RepeteMissions
עבר של הציוד,ItemHistory
הצעות קידום,Promotional
אני רוצה להפקיד,Deposit
הפקדת ציוד,Deposit
היסטוריית פריט,ItemHistory
משימות לביצוע,Missions
מחיקת פריט לא נחוץ,DeleteEquipment
הגדרות ציוד,EquipmentSettings
שנה פריט,EditEntityObject
טיפול במשימות,missions
הגדר תצורת ציוד,EquipmentSettings
פריט חדש,AddingNewEquipment
בדיקת מלאי,storage
מה יש במחסן,storage
מידע על חייל,Solider
איתור פריט,EquipmentFinder
שנה פריט,EditEntityObject
חזור על משימה,RepeteMissions
מצא ציוד במחסן,EquipmentFinder
מה המשימות שלי,Missions
צרף מסמכים,AddAttachments
העלה קובץ חדש,AddAttachments
ניהול ציוד מתקדם,EquipmentSettings
עבר של הציוד,ItemHistory
חזור למסך הראשי,Main
חזור למסך הראשי,Main
אני רוצה להפקיד,Deposit
רמת מוכנות,Preparedness
משימות מחזוריות,RepeteMissions
ציוד חדש,AddingNewEquipment
היסטוריית פריט,ItemHistory
צרף מסמכים,AddAttachments
ערוך נתון,EditEntityObject
הסרת פריט,DeleteEquipment
הפקדת ציוד,Deposit
מידע על חייל,Solider
הוספת ציוד,AddingNewEquipment
הצעות קידום,Promotional
הפקדת ציוד,Deposit
הזנת חייל חדש,AddingSolidersForm
מחק ציוד,DeleteEquipment
פריט חדש,AddingNewEquipment
משימה שחוזרת,RepeteMissions
מה המשימות שלי,Missions
פריט חדש,AddingNewEquipment
מחיקת פריט לא נחוץ,DeleteEquipment
פריט חדש,AddingNewEquipment
תצוגה ראשית,Main
ניהול ציוד מתקדם,EquipmentSettings
חזור למסך הראשי,Main
הוספת חייל,AddingSolidersForm
